epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,10265.3,0.88532,0.71321,0.89047,1.12537,0,0.78634,0.74317,0.81649,0.64865,0.78629,0.74312,0.81566,0.62735,0.83832,0.50988,0.83931,1.07788,0,8.98931e-05,8.98931e-05,8.98931e-05
29,10626.6,0.89869,0.72313,0.87596,1.13165,0,0.88995,0.69031,0.79103,0.6246,0.88872,0.68918,0.78986,0.6001,0.84497,0.52051,0.8349,1.08483,0,8.82225e-05,8.82225e-05,8.82225e-05
30,10980.9,0.87988,0.73381,0.89303,1.11943,0,0.82784,0.73403,0.79464,0.62712,0.82481,0.73096,0.79293,0.61715,0.84131,0.51265,0.82821,1.08724,0,8.65519e-05,8.65519e-05,8.65519e-05
31,11337.8,0.88451,0.69705,0.86127,1.1164,0,0.81984,0.7467,0.79692,0.62555,0.81763,0.74442,0.79595,0.62847,0.84784,0.5155,0.8269,1.0816,0,8.48813e-05,8.48813e-05,8.48813e-05
32,11690.6,0.89211,0.69735,0.84794,1.12183,0,0.84739,0.73775,0.79735,0.62909,0.84739,0.73775,0.79664,0.61491,0.83422,0.49627,0.81321,1.07491,0,8.32106e-05,8.32106e-05,8.32106e-05
33,12047.6,0.87463,0.69916,0.84627,1.11123,0,0.83636,0.74496,0.80062,0.62611,0.83497,0.74384,0.80037,0.61487,0.84399,0.4897,0.8351,1.08162,0,8.154e-05,8.154e-05,8.154e-05
34,12398.7,0.87004,0.66889,0.83913,1.10952,0,0.83649,0.74474,0.7985,0.62651,0.83649,0.74474,0.79791,0.61148,0.83802,0.5268,0.82808,1.07629,0,7.98694e-05,7.98694e-05,7.98694e-05
35,12742.9,0.88388,0.70129,0.84482,1.1185,0,0.83332,0.75132,0.81701,0.63985,0.83332,0.75132,0.81648,0.62091,0.85203,0.49781,0.80747,1.08894,0,7.81987e-05,7.81987e-05,7.81987e-05
36,13087.1,0.87055,0.67042,0.83857,1.11628,0,0.84201,0.7526,0.80753,0.63495,0.84201,0.7526,0.807,0.6228,0.8373,0.50743,0.80076,1.07203,0,7.65281e-05,7.65281e-05,7.65281e-05
37,13446.1,0.86964,0.69287,0.83171,1.11064,0,0.86187,0.76606,0.82055,0.6442,0.86049,0.76492,0.8192,0.62787,0.83502,0.48982,0.79349,1.07619,0,7.48575e-05,7.48575e-05,7.48575e-05
38,13800.2,0.86497,0.68926,0.82488,1.10327,0,0.87477,0.76378,0.82982,0.65151,0.87216,0.7615,0.82729,0.63335,0.84429,0.49086,0.78563,1.07739,0,7.31869e-05,7.31869e-05,7.31869e-05
39,14158.8,0.87021,0.68998,0.83645,1.11201,0,0.8528,0.7683,0.81975,0.65004,0.8504,0.76602,0.81845,0.62859,0.8388,0.49396,0.7945,1.08236,0,7.15163e-05,7.15163e-05,7.15163e-05
40,14503.7,0.88003,0.71777,0.83202,1.11413,0,0.8155,0.79181,0.83112,0.6566,0.81434,0.79068,0.82961,0.63799,0.83773,0.5229,0.78412,1.07065,0,6.98456e-05,6.98456e-05,6.98456e-05
41,14857.5,0.85121,0.68996,0.80257,1.09853,0,0.8377,0.77687,0.82688,0.6466,0.83662,0.77574,0.82623,0.6318,0.83193,0.51916,0.78821,1.07383,0,6.8175e-05,6.8175e-05,6.8175e-05
42,15210.8,0.86455,0.6904,0.81996,1.10585,0,0.76495,0.81931,0.82804,0.65355,0.76325,0.81789,0.82628,0.63539,0.83639,0.4993,0.80289,1.07472,0,6.65044e-05,6.65044e-05,6.65044e-05
43,15583.3,0.8543,0.67184,0.812,1.10449,0,0.80792,0.80676,0.82922,0.65683,0.80659,0.80563,0.82849,0.64065,0.82567,0.51498,0.77835,1.07205,0,6.48338e-05,6.48338e-05,6.48338e-05
44,15947.6,0.8573,0.68549,0.80484,1.09816,0,0.78368,0.82074,0.82658,0.66087,0.78127,0.8191,0.82465,0.64535,0.83107,0.4909,0.7874,1.071,0,6.31631e-05,6.31631e-05,6.31631e-05
45,16297.6,0.86207,0.66755,0.79364,1.10187,0,0.75012,0.82204,0.82621,0.65437,0.75012,0.82204,0.82573,0.64262,0.84049,0.51396,0.76648,1.07366,0,6.14925e-05,6.14925e-05,6.14925e-05
46,16660.1,0.8536,0.67976,0.77835,1.09917,0,0.79482,0.8073,0.82649,0.65189,0.79482,0.8073,0.82569,0.63651,0.83539,0.49429,0.76939,1.07145,0,5.98219e-05,5.98219e-05,5.98219e-05
47,17006.3,0.85116,0.66735,0.77624,1.10039,0,0.78908,0.83127,0.82876,0.65145,0.79021,0.83235,0.82776,0.63552,0.83655,0.49296,0.77711,1.0736,0,5.81513e-05,5.81513e-05,5.81513e-05
48,17354.1,0.85241,0.65836,0.78111,1.09588,0,0.81294,0.81386,0.82822,0.65064,0.81294,0.81386,0.82798,0.63581,0.83993,0.51208,0.76418,1.0731,0,5.64806e-05,5.64806e-05,5.64806e-05
49,17704.2,0.85791,0.68894,0.77264,1.10058,0,0.77454,0.84438,0.82934,0.6585,0.77454,0.84438,0.8288,0.64174,0.83025,0.51229,0.77112,1.07105,0,5.481e-05,5.481e-05,5.481e-05
50,18061.6,0.84401,0.65004,0.76967,1.0984,0,0.77381,0.84713,0.83111,0.65567,0.77381,0.84713,0.83036,0.63999,0.82857,0.51842,0.76472,1.06872,0,5.31394e-05,5.31394e-05,5.31394e-05
51,18413,0.84048,0.65794,0.76479,1.10159,0,0.79483,0.83714,0.82991,0.66244,0.79483,0.83714,0.82874,0.65087,0.82572,0.5047,0.76052,1.0682,0,5.14688e-05,5.14688e-05,5.14688e-05
52,18770,0.83817,0.67922,0.77278,1.09502,0,0.79103,0.83878,0.83206,0.65421,0.79103,0.83878,0.83121,0.63982,0.83099,0.50041,0.76478,1.0768,0,4.97981e-05,4.97981e-05,4.97981e-05
53,19122.8,0.83979,0.67516,0.77287,1.08556,0,0.81325,0.83197,0.8322,0.65574,0.81325,0.83197,0.83122,0.63672,0.82944,0.50291,0.76177,1.07434,0,4.81275e-05,4.81275e-05,4.81275e-05
54,19481.4,0.83679,0.66073,0.76702,1.08577,0,0.82567,0.80431,0.83216,0.65837,0.82567,0.80431,0.8312,0.63411,0.82725,0.51765,0.7502,1.06829,0,4.64569e-05,4.64569e-05,4.64569e-05
55,19838.4,0.82903,0.65789,0.74303,1.08946,0,0.77929,0.84019,0.83327,0.65525,0.77929,0.84019,0.83194,0.64418,0.8256,0.51395,0.7476,1.07393,0,4.47862e-05,4.47862e-05,4.47862e-05
56,20184,0.82353,0.64909,0.74526,1.0772,0,0.78943,0.84247,0.83555,0.66056,0.78943,0.84247,0.83444,0.64384,0.82548,0.50785,0.74132,1.0688,0,4.31156e-05,4.31156e-05,4.31156e-05
57,20546.2,0.8278,0.66067,0.74717,1.08854,0,0.79181,0.8388,0.84052,0.66555,0.79181,0.8388,0.83994,0.64728,0.82459,0.50861,0.74792,1.06631,0,4.1445e-05,4.1445e-05,4.1445e-05
58,20909.4,0.83989,0.66181,0.73537,1.0911,0,0.84939,0.80031,0.84017,0.66811,0.84939,0.80031,0.83983,0.65093,0.82752,0.4938,0.73395,1.06535,0,3.97744e-05,3.97744e-05,3.97744e-05
59,21266.5,0.82185,0.64971,0.73733,1.07927,0,0.79293,0.83906,0.84026,0.66654,0.79293,0.83906,0.83968,0.65624,0.82422,0.50569,0.72612,1.0681,0,3.81038e-05,3.81038e-05,3.81038e-05
60,21622.5,0.83695,0.63279,0.75627,1.09157,0,0.78715,0.84739,0.83406,0.66426,0.78715,0.84739,0.83313,0.65104,0.82749,0.50755,0.72851,1.07295,0,3.64331e-05,3.64331e-05,3.64331e-05
61,21975.5,0.82366,0.64731,0.7419,1.0812,0,0.79324,0.84357,0.83631,0.66672,0.79324,0.84357,0.83498,0.65011,0.82649,0.51794,0.73612,1.06912,0,3.47625e-05,3.47625e-05,3.47625e-05
62,22330.1,0.813,0.62917,0.72222,1.07571,0,0.80604,0.84281,0.84064,0.66675,0.80604,0.84281,0.8392,0.65146,0.82406,0.50673,0.72873,1.06582,0,3.30919e-05,3.30919e-05,3.30919e-05
63,22684.5,0.82534,0.62371,0.74633,1.0857,0,0.79101,0.84601,0.83743,0.66385,0.79101,0.84601,0.83632,0.6539,0.82705,0.5037,0.73217,1.06691,0,3.14213e-05,3.14213e-05,3.14213e-05
64,23046,0.81094,0.64895,0.71656,1.07172,0,0.84559,0.80642,0.83387,0.6647,0.84559,0.80642,0.83297,0.64518,0.82425,0.50988,0.72925,1.06497,0,2.97506e-05,2.97506e-05,2.97506e-05
65,23399.5,0.83091,0.63485,0.74275,1.08478,0,0.86365,0.79005,0.83419,0.66338,0.8627,0.78934,0.83323,0.64633,0.82303,0.51498,0.72913,1.0658,0,2.808e-05,2.808e-05,2.808e-05
66,23754,0.823,0.654,0.71682,1.07691,0,0.80076,0.84202,0.83323,0.66553,0.80076,0.84202,0.83232,0.64117,0.82357,0.51572,0.72752,1.06618,0,2.64094e-05,2.64094e-05,2.64094e-05
67,24112.5,0.83497,0.65208,0.74016,1.08493,0,0.80483,0.83825,0.83427,0.66468,0.80483,0.83825,0.83343,0.64304,0.82581,0.51041,0.72877,1.0648,0,2.47388e-05,2.47388e-05,2.47388e-05
68,24470,0.80437,0.65554,0.7079,1.07218,0,0.81204,0.83752,0.83409,0.65991,0.81204,0.83752,0.83302,0.64612,0.82821,0.50693,0.72853,1.06777,0,2.30681e-05,2.30681e-05,2.30681e-05
69,24825.3,0.80623,0.6345,0.7135,1.07125,0,0.81338,0.83922,0.83548,0.67002,0.81338,0.83922,0.83512,0.64511,0.8213,0.50072,0.72651,1.06457,0,2.13975e-05,2.13975e-05,2.13975e-05
70,25178.3,0.8288,0.6503,0.72145,1.08022,0,0.81823,0.83927,0.83388,0.66501,0.81823,0.83927,0.8332,0.64487,0.82378,0.50855,0.72786,1.06776,0,1.97269e-05,1.97269e-05,1.97269e-05
71,25520.8,0.73242,0.43087,0.72091,1.03009,0,0.82147,0.83541,0.83036,0.65936,0.82147,0.83541,0.82962,0.64595,0.82738,0.49109,0.75763,1.06342,0,1.80563e-05,1.80563e-05,1.80563e-05
72,25851.8,0.72447,0.40878,0.68889,1.02122,0,0.8563,0.81254,0.82995,0.65989,0.85618,0.81245,0.82962,0.64265,0.82511,0.48687,0.73702,1.06638,0,1.63856e-05,1.63856e-05,1.63856e-05
73,26185.3,0.72041,0.4142,0.69027,1.02008,0,0.84138,0.83184,0.83191,0.65989,0.84124,0.83172,0.83155,0.64217,0.82551,0.49713,0.73523,1.05867,0,1.4715e-05,1.4715e-05,1.4715e-05
74,26518,0.71739,0.40358,0.67253,1.01305,0,0.84668,0.82619,0.8311,0.66437,0.84525,0.82505,0.8302,0.64549,0.82589,0.49791,0.7358,1.06424,0,1.30444e-05,1.30444e-05,1.30444e-05
75,26850.3,0.72718,0.41595,0.67881,1.01829,0,0.84327,0.83277,0.83174,0.66479,0.84279,0.8324,0.83076,0.63893,0.82491,0.50009,0.7305,1.06449,0,1.13737e-05,1.13737e-05,1.13737e-05
76,27182.1,0.71973,0.40117,0.67002,1.0136,0,0.8312,0.83536,0.83108,0.6666,0.8312,0.83536,0.83011,0.64383,0.82697,0.50218,0.7295,1.06551,0,9.70312e-06,9.70312e-06,9.70312e-06
77,27516.7,0.71385,0.39955,0.66703,1.01199,0,0.84528,0.8313,0.83094,0.66513,0.84526,0.83129,0.82985,0.6429,0.8247,0.49902,0.72603,1.06371,0,8.0325e-06,8.0325e-06,8.0325e-06
78,27865.2,0.71415,0.39573,0.66439,1.01182,0,0.85131,0.82234,0.83082,0.66244,0.84933,0.82613,0.82958,0.64086,0.82659,0.49998,0.7249,1.06329,0,6.36187e-06,6.36187e-06,6.36187e-06
79,28210,0.71694,0.39765,0.66078,1.01773,0,0.85042,0.82476,0.83155,0.66184,0.84889,0.82396,0.83032,0.64575,0.82305,0.49342,0.72715,1.06438,0,4.69125e-06,4.69125e-06,4.69125e-06
80,28546.9,0.72243,0.39834,0.6797,1.01682,0,0.84894,0.82098,0.83223,0.66108,0.84512,0.81913,0.83072,0.6411,0.82381,0.49426,0.7239,1.0624,0,3.02062e-06,3.02062e-06,3.02062e-06
