epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,2686.78,0.79478,1.22769,2.59929,1.11806,0,0.27858,0.23409,0.20935,0.11072,0.28032,0.23409,0.20281,0.11086,1.40939,3.43647,4.73376,1.55086,0,0.000120312,0.000120312,0.000120312
30,2772.76,0.81531,1.39767,2.4447,1.12379,0,0.2934,0.32175,0.23295,0.12518,0.2941,0.3206,0.22846,0.12865,1.43003,3.45371,4.69125,1.56278,0,0.000114966,0.000114966,0.000114966
31,2857,0.70724,1.33044,2.49101,1.07565,0,0.29156,0.24242,0.251,0.1308,0.29156,0.24242,0.24627,0.13786,1.43017,3.5064,4.61982,1.58615,0,0.00010962,0.00010962,0.00010962
32,2940.55,0.74174,1.17243,2.44009,1.04884,0,0.29341,0.22576,0.20188,0.12371,0.26217,0.24242,0.23982,0.12955,1.42434,3.58878,4.5976,1.60386,0,0.000104274,0.000104274,0.000104274
33,3024.09,0.71737,1.18864,2.62659,1.07542,0,0.29796,0.1957,0.19346,0.12449,0.29796,0.1957,0.20953,0.11907,1.39997,3.59981,4.53253,1.57421,0,9.8928e-05,9.8928e-05,9.8928e-05
34,3109.6,0.75189,1.17682,2.10679,1.05239,0,0.28432,0.20764,0.20454,0.12357,0.28432,0.20764,0.20223,0.11982,1.38831,3.63107,4.47835,1.55188,0,9.3582e-05,9.3582e-05,9.3582e-05
35,3193.06,0.69226,1.04745,2.12901,1.02367,0,0.23588,0.10909,0.19446,0.11299,0.23588,0.10909,0.19115,0.1107,1.37233,3.74097,4.44016,1.56071,0,8.8236e-05,8.8236e-05,8.8236e-05
36,3276.37,0.76193,1.18833,2.65114,1.02217,0,0.24799,0.10909,0.18705,0.10806,0.24799,0.10909,0.18355,0.10559,1.32935,3.74871,4.40855,1.52687,0,8.289e-05,8.289e-05,8.289e-05
37,3361.35,0.67163,1.04951,2.01695,1.01309,0,0.23842,0.07576,0.17395,0.10902,0.23842,0.07576,0.17089,0.10223,1.32012,3.73759,4.39712,1.51174,0,7.7544e-05,7.7544e-05,7.7544e-05
38,3446.03,0.67767,1.08823,2.07742,1.03235,0,0.2415,0.07576,0.16337,0.1016,0.2415,0.07576,0.15906,0.09343,1.31345,3.73517,4.52976,1.5207,0,7.2198e-05,7.2198e-05,7.2198e-05
39,3530.87,0.69384,1.22676,2.04938,1.02961,0,0.56101,0.06742,0.15092,0.09578,0.56101,0.06742,0.14763,0.08816,1.33432,3.74742,4.60106,1.52037,0,6.6852e-05,6.6852e-05,6.6852e-05
40,3615.03,0.6317,1.02891,2.05904,0.99503,0,0.53771,0.06702,0.14593,0.09652,0.53771,0.06702,0.14397,0.08585,1.37081,3.69597,4.62379,1.52892,0,6.1506e-05,6.1506e-05,6.1506e-05
41,3697.52,0.5374,0.78315,4.1784,0.95803,0,0.13992,0.19242,0.15449,0.10011,0.13992,0.19242,0.151,0.09162,1.43928,3.80258,4.53074,1.59919,0,5.616e-05,5.616e-05,5.616e-05
42,3850.83,0.50953,0.79357,4.57439,0.94339,0,0.51886,0.1662,0.17634,0.12024,0.51886,0.1662,0.17249,0.1142,1.42851,3.79265,4.45179,1.56302,0,5.0814e-05,5.0814e-05,5.0814e-05
43,3929.9,0.57421,0.87775,2.63695,0.99888,0,0.60539,0.16006,0.17691,0.1212,0.60539,0.16006,0.17275,0.11436,1.37422,3.7864,4.4394,1.52736,0,4.5468e-05,4.5468e-05,4.5468e-05
44,4011.37,0.55399,0.91945,2.41873,1.02076,0,0.59459,0.16877,0.17722,0.12457,0.59459,0.16877,0.17382,0.11643,1.3535,3.68643,4.43337,1.50223,0,4.0122e-05,4.0122e-05,4.0122e-05
45,4095.26,0.56178,0.86711,3.31066,1.00606,0,0.38451,0.17046,0.17099,0.12737,0.38451,0.17046,0.16716,0.11224,1.35402,3.68624,4.40638,1.50315,0,3.4776e-05,3.4776e-05,3.4776e-05
46,4178.02,0.54366,0.79373,3.51868,0.97961,0,0.28414,0.17015,0.16829,0.1215,0.28414,0.17015,0.16412,0.11092,1.32644,3.65739,4.37682,1.48193,0,2.943e-05,2.943e-05,2.943e-05
47,4259.58,0.49913,0.75042,3.28808,0.97578,0,0.38316,0.17048,0.17216,0.12229,0.38316,0.17048,0.1676,0.1107,1.33668,3.67499,4.37194,1.48634,0,2.4084e-05,2.4084e-05,2.4084e-05
48,4341.65,0.4884,0.809,3.51372,0.97408,0,0.25621,0.17576,0.17975,0.12554,0.25789,0.17576,0.17419,0.11283,1.32673,3.71032,4.33498,1.48111,0,1.8738e-05,1.8738e-05,1.8738e-05
49,4423.57,0.52943,0.85639,2.39305,1.00415,0,0.17565,0.21288,0.20302,0.13519,0.17512,0.20897,0.19607,0.12123,1.3216,3.69815,4.36239,1.4754,0,1.3392e-05,1.3392e-05,1.3392e-05
50,4505.18,0.49184,0.80012,3.49157,0.93905,0,0.28187,0.16667,0.19472,0.13078,0.28187,0.16667,0.18819,0.11796,1.31897,3.67029,4.3797,1.47574,0,8.046e-06,8.046e-06,8.046e-06
